,score,roaster,title,Roaster Location,Coffee Origin,Roast Level,Agtron,Est. Price,blind_assessment,notes,bottom_line
0,95,Mostra Coffee,Gesha Spirits,"San Diego, California","Huila, Colombia",Medium-Light,60/77,$24.50/5.5 ounces,"High-toned, delicate, confident. Star-jasmine, cocoa nib, blood orange, black sage, sandalwood in aroma and cup. Sweet-toned structure with poised and elegantly bright acidity; very smooth, silky mouthfeel. Sandalwood notes contribute resonance to the floral-toned finish.","Produced by Wilder Lasso of Bella Alejandría Farm entirely of the Gesha variety of Arabica, and processed by the washed anaerobic method, in which the fermentation step occurs in a hermetically sealed vessel before the beans are washed and dried. Mostra Coffee is a women-, minority-, veteran-, and immigrant-owned micro-roaster based in north county San Diego. For more information, visit www.mostracoffee.com."," A complex, nuanced Colombia Gesha cup processed by an elaborate variation on the traditional washed method."
0,94,Buon Caffe,Kenya Nyeri Hill Farm AA TOP,"Taipei, Taiwan","Nyeri growing region, south-central Kenya",Medium-Light,59/79,NT $349/8 ounces,"Sweet-toned, richly aromatic. Red currant, honey, narcissus, cedar, lavender in aroma and cup. Sweetly tart with bright, juicy acidity; syrupy-smooth mouthfeel. The short finish consolidates to notes of red currant and honey, carrying far into the long.","Despite grower discontent, unclear government coffee policy and urban encroachment on prime coffee lands, the famed Kenya coffee auction system and its participating cooperatives continue to produce some of the world's most elegant and distinctive coffees. Buon Caffe is a specialty coffee roaster and cafe, in Taipei. Visit "," A classic Kenya cup: deeply sweet, richly savory, balanced and juicy-bright with both sweet (narcissus) and spicy (lavender) floral impulses."
0,93,Mostra Coffee,Philippines Sitio Belis 1017,"San Diego, California","Benguet, Philippines",Medium-Light,59/76,$26.50/6 ounces,"Sweetly pungent with savory undertones. Lychee, marjoram, cocoa nib, freesia-like flowers, roasted almond in aroma and cup. Crisply sweet structure with juicy acidity; smooth, satiny mouthfeel. Nutty, sweetly herbaceous finish.","Produced by Kalsada Coffee from trees of the Garnica variety of Arabica and processed by the anaerobic washed method (fermentation occurs in a hermetically sealed vessel). Mostra Coffee is a women-, minority-, veteran-, and immigrant-owned micro-roaster based in north county San Diego. For more information, visit www.mostracoffee.com.", A deeply aromatic Philippines cup evoking tropical fruit and rich cocoa.
0,92,Mostra Coffee,Philippines Sitio Belis 1014,"San Diego, Calfornia","Benguet Province, The Philippines",Medium-Light,58/76,$26.50/6 ounces,"Fruit-toned, sweetly herbaceous. Goji berry, lemon verbena, cedar, baking chocolate, malt in aroma and cup. Sweet-toned with gentle acidity; full, syrupy mouthfeel. Quietly chocolaty finish with citrus undertones.","Produced by Kalsada Coffee,from trees of the Typica and Bourbon varieties of Arabica, and processed by the anaerobic washed method (the fermentation step takes place in a hermetically sealed vessel). Mostra Coffee is a women-, minority-, veteran-, and immigrant-owned micro-roaster based in north county San Diego. For more information, visit www.mostracoffee.com."," An attractive anaerobically processed Philppines cup with an especially viscous, syrupy mouthfeel.
"
0,93,Buon Caffe,Costa Rica Tarrazu Dota El Diosa Geisha,"Taipei, Taiwan","Tarrazu growing region, Costa Rica",Medium-Light,60/76,NT $789/8 ounces,"High-toned, floral. Nectarine, lilac, cocoa nib, pistachio brittle, cedar in aroma and cup. Sweet structure with bright, juicy acidity; silky-smooth mouthfeel. The cocoa-toned finish is complicated by hints of lilac and cedar.","Produced by Dota Estate entirely of the celebrated Geisha variety of Arabica, and processed by the honey method, in which the skin is stripped off the coffee fruit, but much of the fruit flesh is left to dry on the bean. Buon Caffe is a specialty coffee roaster and cafe in Taipei. Visit ", A pretty Costa Rica Geisha processed by the honey method. Floral-driven with ballast from cocoa notes.
0,92,Buon Caffe,Ethiopia Gedeb Worka Single Variety 74110 G1,"Taipei, Taiwan","Gedeb District, Gedeo Zone, southern Ethiopia",Medium-Light,58/76,NT $349/8 ounces,"Crisply sweet and inviting. Caramel, pear, baking chocolate, fir, mustard flower in aroma and cup. Sweet-savory structure with gentle acidity; satiny mouthfeel. Notes of caramel and pear lead the finish, with undertones of baking chocolate.","Produced from trees of the indigenous Ethiopian 74111 selection of Arabica. This is a wet-processed or “washed” coffee, meaning the fruit skin and pulp were removed from the beans immediately after harvesting and before drying. Buon Caffe is a specialty coffee roaster and cafe, in Taipei. Visit ", A friendly washed Ethiopia cup with notes of pear and crisp chocolate as throughlines.
0,94,Jackrabbit Java,Costa Rica Las Montañas Honey,"Thermopolis, Wyoming","Tarrazú growing region, Costa Rica",Medium-Light,60/78,$14.00/12 ounces,"Sweet-toned, delicate and deep. Dark chocolate, lychee, lemon verbena, maple syrup, hazelnut in aroma and cup. Brightly sweet structure with juicy, balanced acidity; plush, syrupy mouthfeel. The finish centers around notes of chocolate and maple syrup.","Produced by smallholding farmers surrounding the Palmichal micromill, and processed by the honey method, in which the skins are removed from the fruit but at least some of the sticky fruit flesh is allowed to dry on the beans. Jackrabbit Java selects the finest coffees from around the world and roasts them in Thermopolis, Wyoming’s mountain air. All Jackrabbit Java coffees are specialty-grade and roasted to order. Visit", A paradoxically bright yet deep honey-processed Costa Rica cup with a sweet herb throughline.
0,94,Equator Coffees,Colombia Finca La Guaca Ají,"San Rafael, California","Pitalito Municipality, Huila Department, Colombia",Light,62/80,$19.50/6 ounces,"Elegant, delicate, rich-toned. Mango, cocoa nib, marjoram, lavender, cane sugar in aroma and cup. Sweetly tart structure with bright, juicy acidity; very full, syrupy mouthfeel. The pretty finish leads with lavender and cocoa nib.","Produced by José Hernán Salazar Benavides and Marina Elina Ansasoy of Finca La Guaca entirely of the Ají (an Ethiopian landrace) variety of Arabica, and processed by the washed method. Founded in 1995 by Brooke McDonnell and Helen Russell, Equator Coffees operates retail stores in the San Francisco Bay Area and southern California and provides coffee to hundreds of wholesale accounts. Visit", A focused but lush cup from trees of a rare indigenous Ethiopian landrace variety grown in Colombia called Aji — tropical-leaning with a cocoa backbone. 
0,92,Coffee Hound,44˚N 68˚W Bar Harbor,"Brewer, Maine",Costa Rica; Sumatra,Medium-Light,54/70,$13.99/12 ounces,"Deeply sweet-savory. Dark chocolate, fresh humus, yellow plum, cashew, oak in aroma and cup. Sweet structure with brisk acidity; silky, lightly viscous mouthfeel. Finish consolidates to earthy chocolate and nut.",A blend of coffees from Costa Rica and Sumatra. Coffee Hound is a women-owned small business in Maine that offers both retail and wholesale specialty coffee. Visit www.coffeehoundcoffeeco.com.," A solid, medium-roasted Costa Rica/Sumatra blend that offers deep earthy sweetness juxtaposed with crisp fruit."
0,93,Jackrabbit Java,Panama Finca Santa Teresa,"Thermopolis, Wyoming","Chiriquí Province, Panama",Medium-Light,59/77,$14.00/12 ounces,"Balanced, deeply sweet. Dark chocolate, honeysuckle, date, orange zest, cedar in aroma and cup. Sweet-toned with bright, vibrant acidity; crisp, velvety mouthfeel. Chocolaty finish with undertones of orange zest.
","Produced at Finca Santa Teresa and processed by the traditional washed method (fruit skin and flesh are removed from the beans before they are dried). Jackrabbit Java selects the finest coffees from around the world and roasts them in Thermopolis, Wyoming’s mountain air. All Jackrabbit Java coffees are specialty-grade and roasted to order. Visit"," A floral-toned, chocolaty, and very affordable Panama cup with particularly vibrant acidity."
0,92,Jackrabbit Java,Zambia Mafinga Hills Natural,"Thermopolis, Wyoming","Northern Province, Zambia",Medium-Light,58/74,$14.00/12 ounces,"Gently sweet-tart, fruit-toned. Goji berry, amber, grapefruit zest, agave syrup, cedar in aroma and cup. Crisply sweet structure with tart-leaning acidity; full, satiny mouthfeel. The finish leads with notes of sweet goji berry, backed up by perfumy amber notes.","Produced at Zambia’s Ngoli estate and processed by the natural method (dried in the whole fruit); Rainforest Alliance-certified. Jackrabbit Java selects the finest coffees from around the world and roasts them in Thermopolis, Wyoming’s mountain air. All Jackrabbit Java coffees are specialty-grade and roasted to order. Visit"," An interesting, rare natural-processed Zambia coffee, worth seeking out for its unique cup profile and leading notes of dried fruit and resinous amber."
0,91,Jackrabbit Java,Mexico Altura Natural Water Process Decaf,"Thermopolis, Wyoming","Chiapas, Mexico",Medium-Light,57/74,$14.00/12 ounces,"Crisply chocolaty, deep-toned. Baking chocolate, almond, lily, candy apple, fir in aroma and cup. Sweet structure with gently round acidity; full, crisply syrupy mouthfeel. Gently drying, quite chocolaty finish.","This coffee was sourced by the importer Royal Coffee and decaffeinated at the Descamex plant in Mexico by a water-only process that does not involve use of solvents. Jackrabbit Java selects the finest coffees from around the world and roasts them in Thermopolis, Wyoming’s mountain air. All Jackrabbit Java coffees are specialty-grade and roasted to order. Visit"," A solid decaffeinated Mexico coffee, processed without harsh solvents, that preserves pleasing chocolate and florals in the cup."
0,90,Coffee Hound,Area Code 207,"Brewer, Maine",Sumatra; Colombia,Medium,44/60,$13.99/12 ounces,"Chocolaty and nut-toned. Chocolate fudge, raisin, gently scorched cedar, gardenia, grapefruit zest in aroma and cup. Bittersweet structure with round acidity; lightly syrupy mouthfeel. Gently drying, wood-framed finish. ",A blend of coffees from Sumatra and Colombia. Coffee Hound is a women-owned small business in Maine that offers both retail and wholesale specialty coffee. Visit www.coffeehoundcoffeeco.com.," A sweet-toned darker-roasted blend with notes of dark chocolate and spicy florals, complicated by hints of gently scorched, smoky cedar."
