roaster_location,coffee_origin,roast_level,agtron,est_price,review_date,aroma,acidity_structure,body,flavor,aftertaste,with_milk,acidity
"San Diego, California","Huila, Colombia",Medium-Light,60/77,$24.50/5.5 ounces,June 2022,9,9,9,10,8,NA,NA
"Taipei, Taiwan","Nyeri growing region, south-central Kenya",Medium-Light,59/79,NT $349/8 ounces,June 2022,9,9,9,9,8,NA,NA
"San Diego, California","Benguet, Philippines",Medium-Light,59/76,$26.50/6 ounces,June 2022,9,9,8,9,8,NA,NA
"San Diego, Calfornia","Benguet Province, The Philippines",Medium-Light,58/76,$26.50/6 ounces,June 2022,8,8,9,9,8,NA,NA
"Taipei, Taiwan","Tarrazu growing region, Costa Rica",Medium-Light,60/76,NT $789/8 ounces,June 2022,9,9,8,9,8,NA,NA
"Taipei, Taiwan","Gedeb District, Gedeo Zone, southern Ethiopia",Medium-Light,58/76,NT $349/8 ounces,June 2022,9,8,8,9,8,NA,NA
"Thermopolis, Wyoming","Tarrazú growing region, Costa Rica",Medium-Light,60/78,$14.00/12 ounces,June 2022,9,9,9,9,8,NA,NA
"San Rafael, California","Pitalito Municipality, Huila Department, Colombia",Light,62/80,$19.50/6 ounces,June 2022,9,9,9,9,8,NA,NA
"Brewer, Maine",Costa Rica; Sumatra,Medium-Light,54/70,$13.99/12 ounces,June 2022,9,8,8,9,8,NA,NA
"Thermopolis, Wyoming","Chiriquí Province, Panama",Medium-Light,59/77,$14.00/12 ounces,June 2022,9,9,8,9,8,NA,NA
"Thermopolis, Wyoming","Northern Province, Zambia",Medium-Light,58/74,$14.00/12 ounces,June 2022,9,8,8,9,8,NA,NA
"Thermopolis, Wyoming","Chiapas, Mexico",Medium-Light,57/74,$14.00/12 ounces,June 2022,8,8,9,9,7,NA,NA
"Brewer, Maine",Sumatra; Colombia,Medium,44/60,$13.99/12 ounces,June 2022,9,8,8,8,7,NA,NA
"Chia-Yi, Taiwan","Kiambu growing region, south-central Kenya",Medium-Light,54/72,NT $400/8 ounces,June 2022,9,NA,9,9,9,10,NA
"Madison, Wisconsin","Nyeri County, Kenya",Medium-Light,58/76,$23.00/12 ounces,June 2022,9,9,9,9,9,NA,NA
"Madison, Wisconsin","Sidama growing region, Ethiopia",Medium-Light,60/78,$19.00/12 ounces,June 2022,9,9,9,9,8,NA,NA
"Chia-Yi, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Medium-Light,54/76,NT $325/8 ounces,June 2022,9,9,9,9,9,NA,NA
"Chia-Yi, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Medium-Light,58/78,NT $325/8 ounces,June 2022,9,9,9,9,9,NA,NA
"San Diego, California",Nicaragua; Guatemala,Medium-Light,54/70,$18.00/12 ounces,June 2022,9,8,8,9,8,NA,NA
"Taoyuan, Taiwan",Ethiopia; Kenya; Colombia; Costa Rica,Medium,45/70,NT $650/8 ounces,June 2022,9,NA,9,9,9,9,NA
"Madison, Wisconsin","Sidama growing region, Ethiopia",Medium-Light,60/78,$17.75/12 ounces,June 2022,9,8,9,9,8,NA,NA
"Madison, Wisconsin","Rivas District, Chirripo Region, Costa Rica",Medium-Light,59/77,$18.75/12 ounces,June 2022,9,8,9,9,8,NA,NA
"San Diego, California","Guji Zone, Oromia Region, Southern Ethiopia",Medium-Light,60/78,$18.00/12 ounces,June 2022,9,NA,8,9,8,9,NA
"Jersey City, New Jersey","Sidama Region, south-central Ethiopia",Medium-Light,59/77,$25.00/8 ounces,June 2022,9,NA,8,9,8,9,NA
"Minneapolis, Minnesota","Quindio Department, Colombia",Medium-Light,60/78,$30.00/12 ounces,June 2022,9,NA,8,9,9,9,NA
"Topeka, Kansas","Caicedonia, Valle de Cauca Department, Colombia",Medium-Light,58/76,$25.00/12 ounces,June 2022,9,NA,9,9,8,9,NA
"Yilan, Taiwan","Cauca Department, Colombia",Medium-Light,58/74,NT $500/100 grams,June 2022,9,NA,9,9,8,9,NA
"Chia-Yi, Taiwan","Santa Barbara Department, Honduras",Medium-Light,58/78,NT $275/8 ounces,June 2022,9,NA,9,9,8,9,NA
"Taoyuan, Taiwan",Ethiopia,Medium,48/64,NT $800/8 ounces,June 2022,9,NA,9,9,8,10,NA
"Lee, Massachusetts","Sidama Region, south-central Ethiopia",Medium-Light,56/74,$18.45/12 ounces,June 2022,9,NA,9,10,8,9,NA
"Taipei, Taiwan","Sidama Region, south-central Ethiopia",Medium-Light,58/77,NT $360/8 ounces,June 2022,9,NA,9,9,9,9,NA
"Holualoa, Hawai’i","Holualoa, North Kona growing district, “Big Island” of Hawai’i",Medium-Light,57/77,$62.95/8 ounces,June 2022,9,NA,9,9,9,9,NA
"Jersey City, New Jersey","Caicedonia, Valle de Cauca Department, Colombia",Medium-Light,60/76,$22.50/10 ounces,June 2022,9,9,9,9,9,NA,NA
"Minneapolis, Minnesota","Quindio Department, Colombia",Medium-Light,61/79,$30.00/12 ounces,June 2022,9,9,9,9,8,NA,NA
"Minneapolis, Minnesota","Pitalito, Huila Department, Colombia",Medium-Light,60/77,$19.00/6 ounces,June 2022,9,9,9,9,8,NA,NA
"San Diego, California","Atok, Benguet, The Philippines",Medium,48/62,$26.00/14 ounces,June 2022,9,8,9,9,8,NA,NA
"Jersey City, New Jersey","Caicedonia, Valle de Cauca Department, Colombia",Medium-Light,59/75,$20.00/12 ounces,June 2022,9,9,8,9,8,NA,NA
"Madison, Wisconsin","Quito, Pichincha Province, Ecuador",Medium-Light,58/77,$18.00/12 ounces,June 2022,9,8,9,9,8,NA,NA
"Minneapolis, Minnesota","Sabah State, East Malaysia",Medium-Light,62/78,$25.00/6 ounces,June 2022,9,8,9,9,8,NA,NA
"Tainan, Taiwan","Yirgacheffe growing region, southern Ethiopia",Medium-Light,60/76,NT $450/227 grams,June 2022,8,9,8,9,8,NA,NA
"Tainan, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Medium-Light,58/76,NT $450/227 grams,June 2022,8,8,8,9,7,NA,NA
"Taipei, Taiwan",Guatemala; Costa Rica,Medium-Light,56/72,NT $500/200 grams,June 2022,9,NA,8,9,7,9,NA
"Taipei, Taiwan",Ethiopia; Panama; Guatemala; El Salvador,Medium-Light,54/77,NT $500/200 grams,June 2022,8,NA,8,9,8,9,NA
"Manlius, New York","Pacaybamba growing region, Peru",Medium-Light,60/77,$30.00/12 ounces,May 2022,9,9,9,9,8,NA,NA
"New Taipei City, Taiwan","San Lorenzo, Saraguro, Loja, Ecuador",Light,64/84,NT $330/113 grams,May 2022,10,9,9,9,8,NA,NA
"Reno, Nevada","Antioquia Department, Colombia",Medium-Light,57/75,$19.50/12 ounces,May 2022,9,8,8,9,8,NA,NA
"Reno, Nevada",Colombia,Medium-Light,58/76,$18.00/12 ounces,May 2022,8,8,9,8,7,NA,NA
"St. Johns, Georgia","Matagalpa, Nicaragua",Medium-Light,58/76,$18.00/12 ounces,May 2022,9,8,9,9,8,NA,NA
"St. Johns, Georgia","Huila Department, Colombia",Medium-Light,55/77,$19.99/12 ounces,May 2022,9,9,8,9,8,NA,NA
"Macao, China","Volcán growing region, Chiriquí Province, Panama",Light,62/80,HKD $498/105 grams,May 2022,9,9,9,9,9,NA,NA
"Charlotte, North Carolina","Giraldo, Antioquia, Colombia",Medium-Light,54/74,$18.00/12 ounces,May 2022,9,8,9,9,9,NA,NA
"Taipei, Taiwan","Arbegona, Sidama Region, Ethiopia",Medium-Light,58/77,NT $620/100 grams,May 2022,9,NA,9,9,8,9,NA
"Douliou City, Taiwan","Nyeri growing region, south-central Kenya",Medium-Light,57/78,NT $450/220 grams,May 2022,9,9,9,9,8,NA,NA
"Osaka, Japan","San Augustín, Huila Department, Colombia",Light,75/93,$33.00/200 grams,May 2022,9,9,9,9,9,NA,NA
"San Diego, California","Nyamasheke District, Western Province, Rwanda",Medium-Light,58/80,$22.00/12 ounces,May 2022,9,9,9,9,8,NA,NA
"Tucson, Arizona","Huehuetenango, Guatemala",Medium-Light,58/77,$18.00/12 ounces,May 2022,9,8,9,9,8,NA,NA
"Portland, Maine","Alajuela, Costa Rica",Medium-Light,60/77,$23.00/12 ounces,May 2022,9,9,9,9,8,NA,NA
"Portland, Maine","Nyeri growing region, south-central Kenya",Medium-Light,59/76,$22.00/16 ounces,May 2022,9,9,8,9,8,NA,NA
"Portland, Maine","Marcala, Honduras",Medium-Light,58/74,$18.50/12 ounces,May 2022,9,8,9,9,8,NA,NA
"Portland, Maine","Nyamasheke District, Rwanda",Medium-Light,58/76,$23.00/12 ounces,May 2022,8,8,9,9,8,NA,NA
"Taoyuan, Taiwan","Sidama growing region, southern Ethiopia",Medium-Light,59/77,NT $400/8 ounces,May 2022,9,9,9,9,8,NA,NA
"Topeka, Kansas","Sharqi, Haraaz, Yemen",Medium-Light,58/76,$35.00/8 ounces,May 2022,10,9,9,10,9,NA,NA
"Chia-Yi, Taiwan","Santo Antônio do Amparo, Minas Gerais State, Brazil",Medium-Light,58/76,NT $600/8 ounces,May 2022,9,9,9,9,9,NA,NA
"Taipei, Taiwan","Serra da Mantiqueira, Brazil",Medium-Light,60/77,NT $280/8 ounces,May 2022,9,8,9,9,8,NA,NA
"Taipei, Taiwan","Cerrado Mineiro, Brazil",Medium-Light,57/76,NT $200/115 grams,May 2022,8,9,9,9,8,NA,NA
"San Diego, California","Alto Caparaó, Minas Gerais State, Brazil",Medium-Light,60/77,$16.00/5 ounces,May 2022,8,9,9,9,8,NA,NA
"St. Johns, Georgia","Chapada Diamantina region, Bahia State, Brazil",Medium-Light,54/72,$28.00/12 ounces,May 2022,9,8,9,9,8,NA,NA
"Taipei, Taiwan","Minas Gerais State, Brazil",Medium-Light,56/72,NT $340/8 ounces,May 2022,9,9,8,9,8,NA,NA
"Branford, Connecticut","Campestre, Minas Gerais State, Brazil",Medium-Light,56/74,$18.50/16 ounces,May 2022,8,9,9,8,8,NA,NA
"Taipei City, Taiwan","Mogiana growing region, Sao Paulo State, Brazil",Medium-Light,52/70,NT $360/8 ounces,May 2022,9,8,9,9,8,NA,NA
"Taipei, Taiwan","Tarrazu, Costa Rica",Medium-Light,60/77,NT $550/227 grams,May 2022,9,8,9,9,9,NA,NA
"Taipei, Taiwan","Utcubamba Province, Amazonas region, northern Peru",Light,64/80,NT $950/227 grams,May 2022,9,9,9,10,8,NA,NA
"Bozeman, Montana","Uraga, Guji Zone, Oromia Region, Southern Ethiopia",Light,60/82,$18.95/12 ounces,May 2022,9,9,9,10,8,NA,NA
"Madison, Wisconsin","Toraja growing region, south-central Sulawesi, Indonesia",Medium-Light,54/72,$24.00/12 ounces,May 2022,9,8,9,9,9,NA,NA
"Minneapolis, Minnesota","Ka‘ū, Big Island of Hawai’i",Medium-Light,58/74,$25.00/4 ounces,May 2022,9,9,9,9,8,NA,NA
Taiwan,"Nyeri growing region, south-central Kenya",Medium,45/58,NT $550/200 grams,May 2022,9,NA,9,9,9,9,NA
"Madison, Wisconsin","South Kivu Province, Democratic Republic of the Congo",Medium-Light,58/74,$19.00/12 ounces,May 2022,9,8,9,9,8,NA,NA
"Henderson, Nevada","Nyeri County, Kenya",Medium-Light,58/67,$20.00/12 ounces,May 2022,9,9,8,9,8,NA,NA
"Bozeman, Montana","Sidama growing region, southern Ethiopia",Medium-Light,58/76,$19.50/12 ounces,May 2022,9,9,9,9,9,NA,NA
"Madison, Wisconsin","Upper Waghi Valley, Jiawaka Province, Papua New Guinea",Medium-Light,57/74,$18.00/12 ounces,May 2022,9,8,9,9,8,NA,NA
"Henderson, Nevada","Western Province, Rwanda",Medium-Light,58/76,$18.00/12 ounces,May 2022,9,8,9,9,8,NA,NA
"Madison, Wisconsin","Africa, South America, Central America",Medium-Light,57/79,$17.00/12 ounces,May 2022,9,8,9,9,8,NA,NA
"Minneapolis, Minnesota","Holualoa, Kona, Big Island of Hawai’i",Medium-Light,57/74,$30.00/4 ounces,May 2022,9,9,9,9,8,NA,NA
"Minneapolis, Minnesota","Haraaz, Yemen",Medium-Light,58/74,$30.00/4 ounces,May 2022,9,9,9,9,9,NA,NA
"Minneapolis, Minnesota","Ka‘ū, Big Island of Hawai‘i",Medium-Light,60/77,$30.00/4 ounces,May 2022,9,9,9,9,9,NA,NA
"Minneapolis, Minnesota","Pematang Purba, Simalungun, Sumatra, Indonesia",Medium-Light,58/75,$35.00/12 ounces,May 2022,9,8,9,9,8,NA,NA
"Minneapolis, Minnesota","Cauca Department, Colombia",Light,62/80,$16.00/4 ounces,May 2022,9,9,9,9,9,NA,NA
"Taipei City, Taiwan","Guji Zone, Oromia Region, Southern Ethiopia",Medium-Light,58/74,NT $350/227 grams,April 2022,9,9,9,9,8,NA,NA
"Taipei City, Taiwan",Panama; Honduras; Ethiopia,Medium,50/64,NT $500/227 grams,April 2022,9,NA,9,9,9,NA,9
"Taipei City, Taiwan","Yirgacheffe growing region, southern Ethiopia",Medium-Light,61/76,NT $350/227 grams,April 2022,9,8,9,9,8,NA,NA
"Taipei City, Taiwan","Brunca growing region, Costa Rica",Medium-Light,62/76,NT $400/ 227 grams,April 2022,9,9,9,9,8,NA,NA
"Taipei City, Taiwan","Yirgacheffe growing region, south-central Ethiopia",Medium-Light,62/76,NT $350/227 grams,April 2022,9,9,9,9,8,NA,NA
"Taipei City, Taiwan","Antigua growing region, Guatemala",Medium-Light,58/74,NT $350/227 grams,April 2022,9,8,9,9,8,NA,NA
"Chia-Yi, Taiwan","Amaybamba, Cusco, Peru",Medium-Light,58/77,NT $700/4 ounces,April 2022,9,9,9,10,9,NA,NA
"Chia-Yi, Taiwan","Alishan, Chia-Yi City, Taiwan",Medium-Light,56/74,NT $400/4 ounces,April 2022,9,9,9,9,8,NA,NA
"Harrisonburg, Virginia","Guji Zone, Oromia Region, southern Ethiopia",Medium-Light,60/76,$17.99/ 12 ounces,April 2022,9,9,9,9,8,NA,NA
"Harrisonburg, Virginia","Buesaco, Nariño Department, Colombia",Light,62/80,$17.99/12 ounces,April 2022,9,8,9,9,8,NA,NA
"San Diego, California","Sidamo growing region, southern Ethiopia",Light,62/80,$26.00/12 ounces,April 2022,9,9,9,9,9,NA,NA
"Madison, Wisconsin","Guji Zone, Oromia Region, Ethiopia",Medium-Light,56/74,$19.00/12 ounces,April 2022,9,9,9,9,8,NA,NA
"Pahala, Hawai'i","Maunawili growing region, southeastern Oahu, Hawaii",Medium-Light,54/74,$17.00/4 ounces,April 2022,9,9,9,9,8,NA,NA
"Madison, Wisconsin","Panchia, Tabaconas, Cajamarca Department, Peru",Medium-Light,56/74,$19.50/12 ounces,April 2022,9,9,8,9,8,NA,NA
"San Diego, California","Tolima Department, Colombia",Light,64/80,$26.00/12 ounces,April 2022,9,9,9,9,8,NA,NA
"Madison, Wisconsin","Yautepec, Miahuatlán, Oaxaca State, Mexico",Medium-Light,58/78,$19.00/12 ounces,April 2022,9,9,8,9,8,NA,NA
"San Diego, California","Kebele Buku Sayisa, Guji Zone, Oromia region, Ethiopia",Medium-Light,60/77,$24.00/12 ounces,April 2022,9,9,8,9,8,NA,NA
"Madison, Wisconsin","El Diamante, San Ignacio, Cajamarca Department, Peru",Medium-Light,58/76,$18.00/12 ounces,April 2022,9,8,9,9,8,NA,NA
"San Diego, California","Veracruz, Mexico",Medium,44/60,$18.00/12 ounces,April 2022,8,8,9,9,8,NA,NA
"Bozeman, Montana","Tarrazu growing region, Costa Rica",Medium-Light,56/74,$19.95/12 ounces,April 2022,9,8,9,9,8,NA,NA
"Madison, Wisconsin","Nyakibanda, Huye, Rwanda",Medium-Light,57/74,$18.00/12 ounces,April 2022,9,9,8,9,8,NA,NA
"Bozeman, Montana","Antigua growing region, Guatemala",Medium-Light,58/76,$16.95/12 ounces,April 2022,9,8,9,8,8,NA,NA
"Kiambu County, Kenya","Kiambu County, Kenya",Medium-Light,60/76,$23.50/12 ounces,April 2022,9,9,9,9,8,NA,NA
"Madison, Wisconsin","Kayanza Province, northern Burundi",Medium-Light,58/73,$22.00/12 ounces,April 2022,8,8,9,9,8,NA,NA
"Lexington, Virginia","Naranjo, Central Valley, Costa Rica",Medium-Light,62/78,$24.00/12 ounces,April 2022,9,9,8,9,8,NA,NA
"Minneapolis, Minnesota","San Jose de Minas, Pichincha, Ecuador",Medium-Light,60/77,$140.00/4 ounces,April 2022,9,9,9,10,9,NA,NA
"Sacramento, California","La Piedra de Rivas, Chirripó, Costa Rica",Medium-Light,57/77,$21.00/12 ounces,April 2022,9,9,8,9,8,NA,NA
"Minneapolis, Minnesota","Holualoa, Kona, Big Island of Hawai’i",Medium-Light,57/74,$30.00/4 ounces,April 2022,9,9,9,9,9,NA,NA
"Sacramento, California","Junín Province, Peru",Medium-Light,56/70,$20.00/12 ounces,April 2022,9,8,8,9,8,NA,NA
"Sacramento, California","Huehuetenengo Department, Guatemala",Medium-Light,57/73,$20.00/12 ounces,April 2022,8,8,9,9,8,NA,NA
"Yilan, Taiwan","Boquete growing region, western Panama",Medium,46/60,NT $800/100 grams,April 2022,9,9,9,9,9,NA,NA
"Yilan, Taiwan","Villa Rica District, Pasco Department, Peru",Medium-Light,62/78,NT $700/100 grams,April 2022,9,9,9,9,8,NA,NA
"Holualoa, Hawaii","Holualoa, North Kona growing district, “Big Island” of Hawai’i",Medium,46/60,$65.95/8 ounces,April 2022,9,9,9,9,9,NA,NA
"Taoyuan, Taiwan","San Jose de Minas, Pichincha, Ecuador",Medium-Dark,40/54,NT $3600/100 grams,April 2022,9,9,9,9,9,NA,NA
"Minneapolis, Minnesota","Simalungun, Sumatra, Indonesia",Medium-Dark,40/50,$30.00/12 ounces,April 2022,9,9,9,9,8,NA,NA
"San Diego, California","Mount Kerinci Highlands, Sumatra, Indonesia",Medium,47/60,$24.50/12 ounces,April 2022,9,9,9,9,8,NA,NA
"Pahala, Hawai'i","Ka’u growing region, Big Island of Hawai’i",Medium,47/61,$19.95/7 ounces,April 2022,9,9,9,9,8,NA,NA
"Bayboro, North Carolina","Aceh Province, northern Sumatra, Indonesia",Medium-Dark,40/52,$14.50/12 ounces,April 2022,9,8,9,9,8,NA,NA
"Redding, California","Colombia; Guatemala; Sumatra, Indonesia",Medium,46/58,$15.00/300 grams,April 2022,9,8,9,9,8,NA,NA
"Taipei, Taiwan","Nyeri growing region, south-central Kenya",Medium-Dark,40/56,NT $600/275 grams,April 2022,9,9,8,9,8,NA,NA
"Berkeley, California",Kenya,Medium-Dark,38/50,$17.95/16 ounces,April 2022,9,8,9,9,7,NA,NA
"Albuquerque, New Mexico",Not disclosed,Medium,46/60,$13.25/12 ounces,April 2022,8,8,9,9,8,NA,NA
"Durango, Colorado",Peru; Honduras; Mexico,Medium-Dark,40/53,$15.00/12 ounces,April 2022,8,8,8,9,8,NA,NA
"Seattle, Washington","Sumatra, Indonesia",Dark,32/44,$12.99/12 ounces,April 2022,8,7,9,9,7,NA,NA
"Berkeley, California",Americas; Indo-Pacific,Medium-Dark,38/50,$18.20/24 ounces,April 2022,8,7,8,8,6,NA,NA
"Seattle, Washington",Latin America,Dark,34/44,$9.98/12 ounces,April 2022,7,6,7,7,7,NA,NA
"San Diego, California","Lintongnihuta, northern Sumatra, Indonesia",Medium-Light,57/79,$21.00/12 ounces,April 2022,9,9,9,10,8,NA,NA
"Sacramento, California","Santa Elena, Honduras",Medium-Light,58/80,$21.00/12 ounces,April 2022,9,8,9,9,8,NA,NA
"Madison, Wisconsin","Gunung Tujuh, Kerinci, Sumatra, Indonesia",Medium-Light,58/80,$19.00/12 ounces,March 2022,9,9,9,9,9,NA,NA
"Taipei, Taiwan",Costa Rica; El Salvador; Papua New Guinea,Medium-Light,58/76,NT $400/225 grams,March 2022,9,NA,8,9,8,9,NA
"New Taipei, Taiwan","India, Brazil, Ethiopia, Indonesia, Colombia",Medium,50/66,NT $160/454 grams,March 2022,8,NA,9,9,7,9,NA
"New Taipei, Taiwan","Yirgacheffe growing region, southern Ethiopia",Medium-Light,60/74,NT $160/227 grams,March 2022,8,9,8,9,8,NA,NA
"Minneapolis, Minnesota","Huila, Colombia",Light,64/82,$48.00/12 ounces,March 2022,9,9,9,10,9,NA,NA
"Chia-Yi, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Medium-Light,58/78,NT $350/8 ounces,March 2022,9,9,9,9,9,NA,NA
"Manlius, New York","Sidamo (also Sidama) growing region, south-central Ethiopia",Medium-Light,58/80,$20.00/12 ounces,March 2022,9,9,9,9,8,NA,NA
"San Diego, California","Sidamo (also Sidama) growing region, south-central Ethiopia",Light,64/86,$26.00/12 ounces,March 2022,9,9,9,9,8,NA,NA
"Charlotte, North Carolina","Bombe mountains, Sidama Region, southern Ethiopia",Medium-Light,58/78,$19.00/12 ounces,March 2022,9,9,9,9,8,NA,NA
"Manlius, New York","Sidamo (also Sidama) growing region, south-central Ethiopia",Medium-Light,60/78,$20.00/12 ounces,March 2022,9,9,9,9,8,NA,NA
"Chia-Yi, Taiwan","Aceh Province, northern Sumatra Indonesia",Light,62/80,NT $350/ 8 ounces,March 2022,9,9,9,9,8,NA,NA
"Chia-Yi, Taiwan","Kirinyaga County, south-central Kenya",Medium-Light,57/77,NT $360/8 ounces,March 2022,9,9,9,9,8,NA,NA
"Taipei, Taiwan",Honduras,Medium-Light,58/76,NT $400/8 ounces,March 2022,9,8,9,9,8,NA,NA
"Taipei, Taiwan",Honduras,Light,64/84,NT $295/115 grams,March 2022,9,8,9,9,8,NA,NA
"New Taipei City, Taiwan","Nyeri growing region, south-central Kenya",Medium-Light,57/77,NT $750/227 grams,March 2022,9,9,9,9,9,NA,NA
"Sacramento, California","Lake Kivu, Democratic Republic of Congo",Medium-Light,56/74,$20.00/12 ounces,March 2022,9,9,8,9,8,NA,NA
"Madison, Wisconsin","Pallatanga, Chimborazo Province, Ecuador",Medium-Light,60/80,$18.00/8 ounces,March 2022,9,9,9,9,9,NA,NA
"San Diego, California","Santa Bárbara, Antioquia Department, Colombia",Medium-Light,55/73,$24.00/12 ounces,March 2022,9,9,9,9,8,NA,NA
"Madison, Wisconsin","Piendamó, Cauca Department, Colombia",Medium-Light,60/78,$18.00/8 ounces,March 2022,9,9,9,9,8,NA,NA
"Madison, Wisconsin","Al Mashtal ul Burhani, Yemen",Medium-Light,58/78,$25.00/8 ounces,March 2022,9,9,9,9,8,NA,NA
"San Diego, California","Jinotega Department, Nicaragua",Medium-Light,58/78,$21.00/12 ounces,March 2022,9,9,8,9,8,NA,NA
"Madison, Wisconsin",Central America; South America; Ethiopia,Medium-Light,52/74,$17.00/12 ounces,March 2022,9,NA,8,9,8,9,NA
"Zhuwei, Taiwan",Ethiopia,Medium-Light,56/74,NT $250/200 grams,March 2022,8,NA,9,8,8,9,NA
"Zhuwei, Taiwan",Costa Rica; Ethiopia,Medium-Light,56/74,NT $350/200 grams,March 2022,9,NA,8,9,8,8,NA
"Buffalo, New York","Apaneca, El Salvador",Light,60/82,$22.00/12 ounces,March 2022,9,9,9,9,8,NA,NA
"Bayboro, North Carolina",Tanzania,Medium-Light,56/72,$14.50/12 ounces,March 2022,9,8,9,9,8,NA,NA
"Buffalo, New York","Sidamo (also Sidama) growing region, south-central Ethiopia",Medium-Light,58/76,$17.75/12 ounces,March 2022,9,8,9,9,8,NA,NA
"Buffalo, New York","El Progresso Department, Guatemala",Medium-Light,57/77,$22.00/12 ounces,March 2022,9,8,9,9,8,NA,NA
"San Diego, California","Caicedonia, Valle de Cauca Department, Colombia",Light,62/80,$69.00/6 ounces,March 2022,9,9,9,10,9,NA,NA
"Minneapolis, Minnesota","Cauca, Colombia",Light,64/84,$40.00/4 ounces,February 2022,10,9,9,10,9,NA,NA
"Holualoa, Hawai’i","Holualoa, North Kona growing district, “Big Island” of Hawai’i",Medium-Light,60/80,$40.95/4 ounces,February 2022,9,9,9,9,8,NA,NA
"Minneapolis, Minnesota","Holualoa, Kona growing region, Big Island of Hawai’i",Medium-Light,56/72,$40.00/4 ounces,February 2022,9,9,9,9,8,NA,NA
"Minneapolis, Minnesota","Ka’u growing region, Big Island of Hawai’i",Medium-Light,58/78,$25.00/4 ounces,February 2022,9,9,9,9,9,NA,NA
"Minneapolis, Minnesota","Siguatepeque, Comayagua Department, Honduras",Medium-Light,60/78,$18.00/6 ounces,February 2022,9,8,9,9,8,NA,NA
"Minneapolis, Minnesota","Pallatanga, Chimborazo, Ecuador",Light,64/80,$18.00/6 ounces,February 2022,9,9,9,9,9,NA,NA
"Holualoa, Hawai’i","Holualoa, North Kona growing district, “Big Island” of Hawai’i",Medium-Light,60/74,$42.00/4 ounces,February 2022,9,8,8,9,8,NA,NA
"Holualoa, Hawaii","Holualoa, North Kona growing district, “Big Island” of Hawai’i",Medium-Light,52/70,$26.00/8 ounces,February 2022,8,8,9,8,8,NA,NA
"Minneapolis, Minnesota","Ka’u growing region, Big Island of Hawai’i",Medium,46/60,$20.00/4 ounces,February 2022,9,8,8,9,8,NA,NA
"Charlotte, North Carolina","Huehuetenango, Guatemala",Medium-Light,58/78,$19.00/12 ounces,February 2022,9,9,8,9,8,NA,NA
"Charlotte, North Carolina",Guatemala; Ethiopia,Medium-Light,56/74,$17.50/12 ounces,February 2022,9,8,9,9,8,NA,NA
"Nashua, New Hampshire","Ocotepeque Department, Honduras",Medium-Light,58/78,$17.99/12 ounces,February 2022,9,8,9,9,8,NA,NA
"San Diego, California","Guji Zone, Oromia Region, southern Ethiopia",Light,62/80,$25.00/12 ounces,February 2022,9,8,8,9,8,NA,NA
