names,brand,score,roaster_location,coffee_origin,roast_level,agtron,est_price,review_date,aroma,acidity_structure,body,flavor,aftertaste,review_text,url,with_milk,acidity
Mostra Coffee,Gesha Spirits,95,"San Diego, California","Huila, Colombia",Medium-Light,60/77,$24.50/5.5 ounces,June 2022,9,9,9,10,8," Mostra Coffee  -  Blind Assessment: High-toned, delicate, confident. Star-jasmine, cocoa nib, blood orange, black sage, sandalwood in aroma and cup. Sweet-toned structure with poised and elegantly bright acidity; very smooth, silky mouthfeel. Sandalwood notes contribute resonance to the floral-toned finish.  -  Notes: Produced by Wilder Lasso of Bella Alejandría Farm entirely of the Gesha variety of Arabica, and processed by the washed anaerobic method, in which the fermentation step occurs in a hermetically sealed vessel before the beans are washed and dried. Mostra Coffee is a women-, minority-, veteran-, and immigrant-owned micro-roaster based in north county San Diego. For more information, visit www.mostracoffee.com.  -  The Bottom Line: A complex, nuanced Colombia Gesha cup processed by an elaborate variation on the traditional washed method.  - ",https://www.coffeereview.com/review/gesha-spirits/,NA,NA
Buon Caffe,Kenya Nyeri Hill Farm AA TOP,94,"Taipei, Taiwan","Nyeri growing region, south-central Kenya",Medium-Light,59/79,NT $349/8 ounces,June 2022,9,9,9,9,8," Buon Caffe  -  Blind Assessment: Sweet-toned, richly aromatic. Red currant, honey, narcissus, cedar, lavender in aroma and cup. Sweetly tart with bright, juicy acidity; syrupy-smooth mouthfeel. The short finish consolidates to notes of red currant and honey, carrying far into the long.  -  Notes: Despite grower discontent, unclear government coffee policy and urban encroachment on prime coffee lands, the famed Kenya coffee auction system and its participating cooperatives continue to produce some of the world's most elegant and distinctive coffees. Buon Caffe is a specialty coffee roaster and cafe, in Taipei. Visit www.buoncaffe.com.tw for more information.

   -  The Bottom Line: A classic Kenya cup: deeply sweet, richly savory, balanced and juicy-bright with both sweet (narcissus) and spicy (lavender) floral impulses.  - ",https://www.coffeereview.com/review/kenya-nyeri-hill-farm-aa-top/,NA,NA
Mostra Coffee,Philippines Sitio Belis 1017,93,"San Diego, California","Benguet, Philippines",Medium-Light,59/76,$26.50/6 ounces,June 2022,9,9,8,9,8," Mostra Coffee  -  Blind Assessment: Sweetly pungent with savory undertones. Lychee, marjoram, cocoa nib, freesia-like flowers, roasted almond in aroma and cup. Crisply sweet structure with juicy acidity; smooth, satiny mouthfeel. Nutty, sweetly herbaceous finish.  -  Notes: Produced by Kalsada Coffee from trees of the Garnica variety of Arabica and processed by the anaerobic washed method (fermentation occurs in a hermetically sealed vessel). Mostra Coffee is a women-, minority-, veteran-, and immigrant-owned micro-roaster based in north county San Diego. For more information, visit www.mostracoffee.com.  -  The Bottom Line: A deeply aromatic Philippines cup evoking tropical fruit and rich cocoa.  - ",https://www.coffeereview.com/review/philippines-sitio-belis-1017/,NA,NA
Mostra Coffee,Philippines Sitio Belis 1014,92,"San Diego, Calfornia","Benguet Province, The Philippines",Medium-Light,58/76,$26.50/6 ounces,June 2022,8,8,9,9,8," Mostra Coffee  -  Blind Assessment: Fruit-toned, sweetly herbaceous. Goji berry, lemon verbena, cedar, baking chocolate, malt in aroma and cup. Sweet-toned with gentle acidity; full, syrupy mouthfeel. Quietly chocolaty finish with citrus undertones.  -  Notes: Produced by Kalsada Coffee,from trees of the Typica and Bourbon varieties of Arabica, and processed by the anaerobic washed method (the fermentation step takes place in a hermetically sealed vessel). Mostra Coffee is a women-, minority-, veteran-, and immigrant-owned micro-roaster based in north county San Diego. For more information, visit www.mostracoffee.com.  -  The Bottom Line: An attractive anaerobically processed Philppines cup with an especially viscous, syrupy mouthfeel.
  - ",https://www.coffeereview.com/review/philippines-sitio-belis-1014/,NA,NA
Buon Caffe,Costa Rica Tarrazu Dota El Diosa Geisha,93,"Taipei, Taiwan","Tarrazu growing region, Costa Rica",Medium-Light,60/76,NT $789/8 ounces,June 2022,9,9,8,9,8," Buon Caffe  -  Blind Assessment: High-toned, floral. Nectarine, lilac, cocoa nib, pistachio brittle, cedar in aroma and cup. Sweet structure with bright, juicy acidity; silky-smooth mouthfeel. The cocoa-toned finish is complicated by hints of lilac and cedar.  -  Notes: Produced by Dota Estate entirely of the celebrated Geisha variety of Arabica, and processed by the honey method, in which the skin is stripped off the coffee fruit, but much of the fruit flesh is left to dry on the bean. Buon Caffe is a specialty coffee roaster and cafe in Taipei. Visit www.buoncaffe.com.tw for more information.  -  The Bottom Line: A pretty Costa Rica Geisha processed by the honey method. Floral-driven with ballast from cocoa notes.  - ",https://www.coffeereview.com/review/costa-rica-tarrazu-dota-el-diosa-geisha/,NA,NA
Buon Caffe,Ethiopia Gedeb Worka Single Variety 74110 G1,92,"Taipei, Taiwan","Gedeb District, Gedeo Zone, southern Ethiopia",Medium-Light,58/76,NT $349/8 ounces,June 2022,9,8,8,9,8," Buon Caffe  -  Blind Assessment: Crisply sweet and inviting. Caramel, pear, baking chocolate, fir, mustard flower in aroma and cup. Sweet-savory structure with gentle acidity; satiny mouthfeel. Notes of caramel and pear lead the finish, with undertones of baking chocolate.  -  Notes: Produced from trees of the indigenous Ethiopian 74111 selection of Arabica. This is a wet-processed or “washed” coffee, meaning the fruit skin and pulp were removed from the beans immediately after harvesting and before drying. Buon Caffe is a specialty coffee roaster and cafe, in Taipei. Visit www.buoncaffe.com.tw/ for more information.  -  The Bottom Line: A friendly washed Ethiopia cup with notes of pear and crisp chocolate as throughlines.  - ",https://www.coffeereview.com/review/ethiopia-gedeb-worka-single-variety-74110-g1/,NA,NA
Jackrabbit Java,Costa Rica Las Montañas Honey,94,"Thermopolis, Wyoming","Tarrazú growing region, Costa Rica",Medium-Light,60/78,$14.00/12 ounces,June 2022,9,9,9,9,8," Jackrabbit Java  -  Blind Assessment: Sweet-toned, delicate and deep. Dark chocolate, lychee, lemon verbena, maple syrup, hazelnut in aroma and cup. Brightly sweet structure with juicy, balanced acidity; plush, syrupy mouthfeel. The finish centers around notes of chocolate and maple syrup.  -  Notes: Produced by smallholding farmers surrounding the Palmichal micromill, and processed by the honey method, in which the skins are removed from the fruit but at least some of the sticky fruit flesh is allowed to dry on the beans. Jackrabbit Java selects the finest coffees from around the world and roasts them in Thermopolis, Wyoming’s mountain air. All Jackrabbit Java coffees are specialty-grade and roasted to order. Visit www.jackrabbitjava.com for more information.   -  The Bottom Line: A paradoxically bright yet deep honey-processed Costa Rica cup with a sweet herb throughline.  - ",https://www.coffeereview.com/review/costa-rica-las-montanas-honey/,NA,NA
Equator Coffees,Colombia Finca La Guaca Ají,94,"San Rafael, California","Pitalito Municipality, Huila Department, Colombia",Light,62/80,$19.50/6 ounces,June 2022,9,9,9,9,8," Equator Coffees  -  Blind Assessment: Elegant, delicate, rich-toned. Mango, cocoa nib, marjoram, lavender, cane sugar in aroma and cup. Sweetly tart structure with bright, juicy acidity; very full, syrupy mouthfeel. The pretty finish leads with lavender and cocoa nib.  -  Notes: Produced by José Hernán Salazar Benavides and Marina Elina Ansasoy of Finca La Guaca entirely of the Ají (an Ethiopian landrace) variety of Arabica, and processed by the washed method. Founded in 1995 by Brooke McDonnell and Helen Russell, Equator Coffees operates retail stores in the San Francisco Bay Area and southern California and provides coffee to hundreds of wholesale accounts. Visit www.equatorcoffees.com or call 800-809-7687 for more information.  -  The Bottom Line: A focused but lush cup from trees of a rare indigenous Ethiopian landrace variety grown in Colombia called Aji — tropical-leaning with a cocoa backbone.   - ",https://www.coffeereview.com/review/colombia-finca-la-guaca-aji/,NA,NA
Coffee Hound,44˚N 68˚W Bar Harbor,92,"Brewer, Maine",Costa Rica; Sumatra,Medium-Light,54/70,$13.99/12 ounces,June 2022,9,8,8,9,8," Coffee Hound  -  Blind Assessment: Deeply sweet-savory. Dark chocolate, fresh humus, yellow plum, cashew, oak in aroma and cup. Sweet structure with brisk acidity; silky, lightly viscous mouthfeel. Finish consolidates to earthy chocolate and nut.  -  Notes: A blend of coffees from Costa Rica and Sumatra. Coffee Hound is a women-owned small business in Maine that offers both retail and wholesale specialty coffee. Visit www.coffeehoundcoffeeco.com.  -  The Bottom Line: A solid, medium-roasted Costa Rica/Sumatra blend that offers deep earthy sweetness juxtaposed with crisp fruit.  - ",https://www.coffeereview.com/review/44%cb%9an-68%cb%9aw-bar-harbor/,NA,NA
Jackrabbit Java,Panama Finca Santa Teresa,93,"Thermopolis, Wyoming","Chiriquí Province, Panama",Medium-Light,59/77,$14.00/12 ounces,June 2022,9,9,8,9,8," Jackrabbit Java  -  Blind Assessment: Balanced, deeply sweet. Dark chocolate, honeysuckle, date, orange zest, cedar in aroma and cup. Sweet-toned with bright, vibrant acidity; crisp, velvety mouthfeel. Chocolaty finish with undertones of orange zest.
  -  Notes: Produced at Finca Santa Teresa and processed by the traditional washed method (fruit skin and flesh are removed from the beans before they are dried). Jackrabbit Java selects the finest coffees from around the world and roasts them in Thermopolis, Wyoming’s mountain air. All Jackrabbit Java coffees are specialty-grade and roasted to order. Visit www.jackrabbitjava.com for more information.   -  The Bottom Line: A floral-toned, chocolaty, and very affordable Panama cup with particularly vibrant acidity.  - ",https://www.coffeereview.com/review/panama-finca-santa-teresa/,NA,NA
