,name,slug
0,Gesha Spirits,https://www.coffeereview.com/review/gesha-spirits/
1,Kenya Nyeri Hill Farm AA TOP,https://www.coffeereview.com/review/kenya-nyeri-hill-farm-aa-top/
2,Philippines Sitio Belis 1017,https://www.coffeereview.com/review/philippines-sitio-belis-1017/
3,Philippines Sitio Belis 1014,https://www.coffeereview.com/review/philippines-sitio-belis-1014/
4,Costa Rica Tarrazu Dota El Diosa Geisha,https://www.coffeereview.com/review/costa-rica-tarrazu-dota-el-diosa-geisha/
5,Ethiopia Gedeb Worka Single Variety 74110 G1,https://www.coffeereview.com/review/ethiopia-gedeb-worka-single-variety-74110-g1/
6,Costa Rica Las Montañas Honey,https://www.coffeereview.com/review/costa-rica-las-montanas-honey/
7,Colombia Finca La Guaca Ají,https://www.coffeereview.com/review/colombia-finca-la-guaca-aji/
8,44˚N 68˚W Bar Harbor,https://www.coffeereview.com/review/44%cb%9an-68%cb%9aw-bar-harbor/
9,Panama Finca Santa Teresa,https://www.coffeereview.com/review/panama-finca-santa-teresa/
10,Zambia Mafinga Hills Natural,https://www.coffeereview.com/review/zambia-mafinga-hills-natural/
11,Mexico Altura Natural Water Process Decaf,https://www.coffeereview.com/review/mexico-altura-natural-water-process-decaf/
12,Area Code 207,https://www.coffeereview.com/review/area-code-207/
13,Kenya Washed Kiambu Uklili AB Espresso,https://www.coffeereview.com/review/kenya-washed-kiambu-uklili-ab-espresso/
14,Karatina Kenya,https://www.coffeereview.com/review/karatina-kenya-2/
15,Karamo Ethiopia,https://www.coffeereview.com/review/karamo-ethiopia/
16,Ethiopia Natural Shakisso Mormora 74112,https://www.coffeereview.com/review/ethiopia-natural-shakisso-mormora-74112/
17,Ethiopia Washed Shakisso Mormora 74112,https://www.coffeereview.com/review/ethiopia-washed-shakisso-mormora-74112/
18,Classic Blend,https://www.coffeereview.com/review/classic-blend-3/
19,Tang Bohu Espresso Blend,https://www.coffeereview.com/review/tang-bohu-espresso-blend/
20,Ethiopia Keramo Natural,https://www.coffeereview.com/review/ethiopia-keramo-natural/
21,Costa Rica Los Torres Microlot Black Honey,https://www.coffeereview.com/review/costa-rica-los-torres-microlot-black-honey/
22,Ethiopia Guracho Natural,https://www.coffeereview.com/review/ethiopia-guracho-natural/
23,Fruit Bomb/Ethiopia Shantewene,https://www.coffeereview.com/review/fruit-bomb-ethiopia-shantewene/
24,Colombia Quindio Anaerobic Natural,https://www.coffeereview.com/review/colombia-quindio-anaerobic-natural-2/
25,Colombia Tres Dragones Natural,https://www.coffeereview.com/review/colombia-tres-dragones-natural/
26,Colombia Finca Jardines del Eden Ice Fermentation Natural,https://www.coffeereview.com/review/colombia-finca-jardines-del-eden-ice-fermentation-natural/
27,Honduras Natural San Vicente Belarmino Contreras Pacas,https://www.coffeereview.com/review/honduras-natural-san-vicente-belarmino-contreras-pacas/
28,Chasing Horizon Natural Espresso,https://www.coffeereview.com/review/chasing-horizon-natural-espresso/
29,Supernatural,https://www.coffeereview.com/review/supernatural/
30,Ethiopia Alemaza Natural SOE,https://www.coffeereview.com/review/ethiopia-alemaza-natural-soe/
31,Kona Natural Espresso,https://www.coffeereview.com/review/kona-natural-espresso/
32,Colombia Tres Dragones,https://www.coffeereview.com/review/colombia-tres-dragones/
33,Colombia Quindio Anaerobic Natural,https://www.coffeereview.com/review/colombia-quindio-anaerobic-natural/
34,Colombia Pink Bourbon,https://www.coffeereview.com/review/colombia-pink-bourbon-3/
35,Philippine Farmer Milled Lot,https://www.coffeereview.com/review/philippine-farmer-milled-lot/
36,Colombia Cumbarco Lot 397,https://www.coffeereview.com/review/colombia-cumbarco-lot-397/
37,Meridiano Ecuador,https://www.coffeereview.com/review/meridia-ecuador/
38,Malaysia Sabah Honey,https://www.coffeereview.com/review/malaysia-sabah-honey/
39,Ruby Sweet Lychee,https://www.coffeereview.com/review/ruby-sweet-lychee/
40,Fruits Island,https://www.coffeereview.com/review/fruits-island/
41,Kasasagi,https://www.coffeereview.com/review/espresso-blend-26/
42,Syunmei Espresso Blend,https://www.coffeereview.com/review/syunmei-espresso-blend/
43,Peru Gesha,https://www.coffeereview.com/review/peru-gesha/
44,Ecuador Loja Hacienda La Papaya Bourbon Sidra 168hr Anaerobic Natural,https://www.coffeereview.com/review/ecuador-loja-hacienda-la-papaya-bourbon-sidra-168hr-anaerobic-natural/
45,Santa Elena Colombia Caturra Natural,https://www.coffeereview.com/review/santa-elena-colombia-caturra-natural/
46,Decaf Colombia Finca Las Nubes,https://www.coffeereview.com/review/decaf-colombia-finca-las-nubes/
47,Nicaragua Selva Negra,https://www.coffeereview.com/review/nicaragua-selva-negra-3/
48,Colombia UVI Cochidas,https://www.coffeereview.com/review/colombia-uvi-cochidas/
49,Panama Finca Deborah Afterglow Geisha Natural,https://www.coffeereview.com/review/panama-finca-deborah-afterglow-geisha-natural/
50,Colombia Exótico De Altura,https://www.coffeereview.com/review/colombia-exotico-de-altura/
51,Ethiopia Dawencho 74110 Natural Espresso,https://www.coffeereview.com/review/ethiopia-dawencho-74110-natural-espresso/
52,Kenya Nyeri Yerihar AA Top Lot 21/01,https://www.coffeereview.com/review/kenya-nyeri-yerihar-aa-top-lot-21-01/
53,Colombia Wush Wush Dynamic Natural,https://www.coffeereview.com/review/colombia-wush-wush-dynamic-natural/
54,Rwanda Gatare,https://www.coffeereview.com/review/rwanda-gatare/
55,Guatemala ASPROCDEGUA Women Producers,https://www.coffeereview.com/review/guatemala-asprocdegua-women-producers/
